GroupName,GroupDescription,MembershipRule
Devices - ACD,Devices - ACD,"(device.displayName -startsWith""ACD"")"
Devices - AC-Females,Devices - AC-Females,"(device.displayName -startsWith""ACF"")"
Devices - ADC,Devices - ADC,"(device.displayName -startsWith""ADC"")"
Devices - AGVM,Devices - AGVM,"(device.displayName -startsWith""AGVM"")"
Devices - ALSS,Devices - ALSS,"(device.displayName -startsWith""ALSS"")"
Devices - AoEA,Devices - AoEA,"(device.displayName -startsWith""EA"")"
Devices - AoGSR,Devices - AoGSR,"(device.displayName -startsWith""GSR"")"
Devices - AoPDQ,Devices - AoPDQ,"(device.displayName -startsWith""PDQ"")"
Devices - ASA-SA-Females,Devices - ASA-SA-Females,"(device.displayName -startsWith""ASAF"")"
Devices - ASOJ,Devices - ASOJ,"(device.displayName -startsWith""ASOJ"")"
Devices - ASR,Devices - ASR,"(device.displayName -startsWith""ASR"")"
Devices - BRCC,Devices - BRCC,"(device.displayName -startsWith""BRCC"")"
Devices - BRHS,Devices - BRHS,"(device.displayName -startsWith""BRHS"")"
Devices - BRHSM,Devices - BRHSM,"(device.displayName -startsWith""BRHSM"")"
Devices - BSS,Devices - BSS,"(device.displayName -startsWith""BSS"")"
Devices - BSS-AD,Devices - BSS-AD,"(device.displayName -startsWith""S-AD"")"
Devices - BSS-BSA-Females,Devices - BSS-BSA-Females,"(device.displayName -startsWith""S-BSAF"")"
Devices - BSS-ENG,Devices - BSS-ENG,"(device.displayName -startsWith""S-ENG"")"
Devices - BSS-FMC,Devices - BSS-FMC,"(device.displayName -startsWith""S-FMC"")"
Devices - BSS-GDOP,Devices - BSS-GDOP,"(device.displayName -startsWith""S-GDOP"")"
Devices - BSS-HR,Devices - BSS-HR,"(device.displayName -startsWith""S-HR"")"
Devices - BSS-MED,Devices - BSS-MED,"(device.displayName -startsWith""S-MED"")"
Devices - BSS-MSA,Devices - BSS-MSA,"(device.displayName -startsWith""S-MSA"")"
Devices - BSS-PHAR,Devices - BSS-PHAR,"(device.displayName -startsWith""S-PHAR"")"
Devices - BSS-PR,Devices - BSS-PR,"(device.displayName -startsWith""S-PR"")"
Devices - BSS-PYP,Devices - BSS-PYP,"(device.displayName -startsWith""S-PYP"")"
Devices - BSS-QEC-Females,Devices - BSS-QEC-Females,"(device.displayName -startsWith""QECF"")"
Devices - BSS-SA,Devices - BSS-SA,"(device.displayName -startsWith""BSS-SA"")"
Devices - BSS-SO,Devices - BSS-SO,"(device.displayName -startsWith""BSS-SO"") or (device.displayName -startsWith""S-BSS-SO"")"
Devices - BSS-TM,Devices - BSS-TM,"(device.displayName -startsWith""BSS-TM"")"
Devices - BSS-UCC,Devices - BSS-UCC,"(device.displayName -startsWith""S-UCC"")"
Devices - BSS-USA,Devices - BSS-USA,"(device.displayName -startsWith""S-USA"")"
Devices - BSS-USA-Females,Devices - BSS-USA-Females,"(device.displayName -startsWith""BSS-USAF"")"
Devices - BWS,Devices - BWS,"(device.displayName -startsWith""BWS"")"
Devices - CAMS,Devices - CAMS,"(device.displayName -startsWith""CAMS"")"
Devices - CBE,Devices - CBE,"(device.displayName -startsWith""CBE"")"
Devices - CDHE,Devices - CDHE,"(device.displayName -startsWith""CDHE"")"
Devices - CICK,Devices - CICK,"(device.displayName -startsWith""CICK"")"
Devices - CIIP,Devices - CIIP,"(device.displayName -startsWith""CIIP"")"
Devices - COC,Devices - COC,"(device.displayName -startsWith""COC"")"
Devices - COC-Females,Devices - COC-Females,"(device.displayName -startsWith""FCC"")"
Devices - COS,Devices - COS,"(device.displayName -startsWith""COS"")"
Devices - COSAB,Devices - COSAB,"(device.displayName -startsWith""COSAB"")"
Devices - CSD,Devices - CSD,"(device.displayName -startsWith""CSD"")"
Devices - CUDD,Devices - CUDD,"(device.displayName -startsWith""CUDD"")"
Devices - DCS,Devices - DCS,"(device.displayName -startsWith""DCS"")"
Devices - DDQ,Devices - DDQ,"(device.displayName -startsWith""DDQ"")"
Devices - DENT,Devices - DENT,"(device.displayName -startsWith""DENT"")"
Devices - DGS,Devices - DGS,"(device.displayName -startsWith""DGS"")"
Devices - DREG,Devices - DREG,"(device.displayName -startsWith""DREG"")"
Devices - DSCS,Devices - DSCS,"(device.displayName -startsWith""DSCS"")"
Devices - EDUC,Devices - EDUC,"(device.displayName -startsWith""EDUC"")"
Devices - EDUS,Devices - EDUS,"(device.displayName -startsWith""EDUS"")"
Devices - EL,Devices - EL,"(device.displayName -startsWith""EL"")"
Devices - FD,Devices - FD,"(device.displayName -startsWith""FD"")"
Devices - FD-Females,Devices - FD-Females,"(device.displayName -startsWith""FD-Females"")"
Devices - FINM,Devices - FINM,"(device.displayName -startsWith""FINM"")"
Devices - GAB,Devices - GAB,"(device.displayName -startsWith""GAB"")"
Devices - GAIC,Devices - GAIC,"(device.displayName -startsWith""GAIC"")"
Devices - GAMS,Devices - GAMS,"(device.displayName -startsWith""GAMS"")"
Devices - GAUP,Devices - GAUP,"(device.displayName -startsWith""GAUP"")"
Devices - GAUS,Devices - GAUS,"(device.displayName -startsWith""GAUS"")"
Devices - GAUS-Females,Devices - GAUS-Females,"(device.displayName -startsWith""GAUS-Females"")"
Devices - GDOP,Devices - GDOP,"(device.displayName -startsWith""GDOP"")"
Devices - GDTA,Devices - GDTA,"(device.displayName -startsWith""GDTA"")"
Devices - Housing,Devices - Housing,"(device.displayName -startsWith""Housing"")"
Devices - HR,Devices - HR,"(device.displayName -startsWith""HR"")"
Devices - Hsb,Devices - Hsb,"(device.displayName -startsWith""Hsb"")"
Devices - IAD,Devices - IAD,"(device.displayName -startsWith""IAD"")"
Devices - IAD-Females,Devices - IAD-Females,"(device.displayName -startsWith""IAD-Females"")"
Devices - IADSC,Devices - IADSC,"(device.displayName -startsWith""IADSC"")"
Devices - IDSC,Devices - IDSC,"(device.displayName -startsWith""IDSC"")"
Devices - Injaz Admins,Devices - Injaz Admins,"(device.displayName -startsWith""Injazadmins"")"
Devices - INV,Devices - INV,"(device.displayName -startsWith""INV"")"
Devices - INV-Females,Devices - INV-Females,"(device.displayName -startsWith""INV-Females"")"
Devices - IT,Devices - IT,"(device.displayName -startsWith""IT"")"
Devices - IT-Females,Devices - IT-Females,"(device.displayName -startsWith""IT-F"")"
Devices - JIS,Devices - JIS,"(device.displayName -startsWith""JIS"")"
Devices - LA,Devices - LA,"(device.displayName -startsWith""LA"")"
Devices - LIB,Devices - LIB,"(device.displayName -startsWith""LIB"")"
Devices - MC,Devices - MC,"(device.displayName -startsWith""MC"")"
Devices - MED,Devices - MED,"(device.displayName -startsWith""MED"")"
Devices - NURS,Devices - NURS,"(device.displayName -startsWith""NURS"")"
Devices - PHAR,Devices - PHAR,"(device.displayName -startsWith""PHAR"")"
Devices - PHHI,Devices - PHHI,"(device.displayName -startsWith""PHHI"")"
Devices - PM,Devices - PM,"(device.displayName -startsWith""PM"")"
Devices - PO,Devices - PO,"(device.displayName -startsWith""PO"")"
Devices - PRD,Devices - PRD,"(device.displayName -startsWith""PRD"")"
Devices - PRY-Females,Devices - PRY-Females,"(device.displayName -startsWith""PRY"")"
Devices - PSPM,Devices - PSPM,"(device.displayName -startsWith""PSPM"")"
Devices - QEC,Devices - QEC,"(device.displayName -startsWith""QEC"")"
Devices - QSA,Devices - QSA,"(device.displayName -startsWith""QSA"")"
Devices - QUDS,Devices - QUDS,"(device.displayName -startsWith""QUDS"")"
Devices - Rector,Devices - Rector,"(device.displayName -startsWith""Rector"")"
Devices - RSD-Females,Devices - RSD-Females,"(device.displayName -startsWith""RSDF"")"
Devices - SAB-Females,Devices - SAB-Females,"(device.displayName -startsWith""SAB-Females"")"
Devices - SM,Devices - SM,"(device.displayName -startsWith""SM"")"
Devices - SPD,Devices - SPD,"(device.displayName -startsWith""SPD"")"
Devices - SPTD,Devices - SPTD,"(device.displayName -startsWith""SPTD"")"
Devices - SRD,Devices - SRD,"(device.displayName -startsWith""SRD"")"
Devices - STUD,Devices - STUD,"(device.displayName -startsWith""STUD"")"
Devices - TTD,Devices - TTD,"(device.displayName -startsWith""TTD"")"
Devices - UAS-Females,Devices - UAS-Females,"(device.displayName -startsWith""UAS"")"
Devices - UIA,Devices - UIA,"(device.displayName -startsWith""UIA"")"
Devices - VP,Devices - VP,"(device.displayName -startsWith""VP"")"
